row ID,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,cabinCategory,embarked,boat,body,home.dest
Row0,1,yes,"Allen, Miss. Elisabeth Walton",female,29,0,0,24160,211.3375,B5,B,S,2,,"St Louis, MO"
Row1,1,yes,"Allison, Master. Hudson Trevor",male,0.9167,1,2,113781,151.55,C22 C26,C,S,11,,"Montreal, PQ / Chesterville, ON"
Row2,1,no,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,C22 C26,C,S,,,"Montreal, PQ / Chesterville, ON"
Row3,1,no,"Allison, Mr. Hudson Joshua Creighton",male,30,1,2,113781,151.55,C22 C26,C,S,,135,"Montreal, PQ / Chesterville, ON"
Row4,1,no,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,2,113781,151.55,C22 C26,C,S,,,"Montreal, PQ / Chesterville, ON"
Row5,1,yes,"Anderson, Mr. Harry",male,48,0,0,19952,26.55,E12,E,S,3,,"New York, NY"
Row6,1,yes,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,D,S,10,,"Hudson, NY"
Row7,1,no,"Andrews, Mr. Thomas Jr",male,39,0,0,112050,0,A36,A,S,,,"Belfast, NI"
Row8,1,yes,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,0,11769,51.4792,C101,C,S,D,,"Bayside, Queens, NY"
Row9,1,no,"Artagaveytia, Mr. Ramon",male,71,0,0,PC 17609,49.5042,,,C,,22,"Montevideo, Uruguay"
Row10,1,no,"Astor, Col. John Jacob",male,47,1,0,PC 17757,227.525,C62 C64,C,C,,124,"New York, NY"
Row11,1,yes,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,PC 17757,227.525,C62 C64,C,C,4,,"New York, NY"
Row12,1,yes,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,69.3,B35,B,C,9,,"Paris, France"
Row13,1,yes,"Barber, Miss. Ellen Nellie",female,26,0,0,19877,78.85,,,S,6,,
Row14,1,yes,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,27042,30,A23,A,S,B,,"Hessle, Yorks"
Row15,1,no,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,,S,,,"New York, NY"
Row16,1,no,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,B,C,,,"Montreal, PQ"
Row17,1,yes,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,247.5208,B58 B60,B,C,6,,"Montreal, PQ"
Row18,1,yes,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,D,C,8,,
Row19,1,no,"Beattie, Mr. Thomson",male,36,0,0,13050,75.2417,C6,C,C,A,,"Winnipeg, MN"
Row20,1,yes,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,D35,D,S,5,,"New York, NY"
Row21,1,yes,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,52.5542,D35,D,S,5,,"New York, NY"
Row22,1,yes,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C,C,5,,"New York, NY"
Row23,1,yes,"Bidois, Miss. Rosalie",female,42,0,0,PC 17757,227.525,,,C,4,,
Row24,1,yes,"Bird, Miss. Ellen",female,29,0,0,PC 17483,221.7792,C97,C,S,8,,
Row25,1,no,"Birnbaum, Mr. Jakob",male,25,0,0,13905,26,,,C,,148,"San Francisco, CA"
Row26,1,yes,"Bishop, Mr. Dickinson H",male,25,1,0,11967,91.0792,B49,B,C,7,,"Dowagiac, MI"
Row27,1,yes,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,91.0792,B49,B,C,7,,"Dowagiac, MI"
Row28,1,yes,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,135.6333,C99,C,S,8,,
Row29,1,yes,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,110564,26.55,C52,C,S,D,,"Stockholm, Sweden / Washington, DC"
Row30,1,no,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,T,S,,,"Trenton, NJ"
Row31,1,yes,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,A,C,7,,"Glen Ridge, NJ"
Row32,1,yes,"Bonnell, Miss. Caroline",female,30,0,0,36928,164.8667,C7,C,S,8,,"Youngstown, OH"
Row33,1,yes,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,C,S,8,,"Birkdale, England Cleveland, Ohio"
Row34,1,no,"Borebank, Mr. John James",male,42,0,0,110489,26.55,D22,D,S,,,"London / Winnipeg, MB"
Row35,1,yes,"Bowen, Miss. Grace Scott",female,45,0,0,PC 17608,262.375,,,C,4,,"Cooperstown, NY"
Row36,1,yes,"Bowerman, Miss. Elsie Edith",female,22,0,1,113505,55,E33,E,S,6,,"St Leonards-on-Sea, England Ohio"
Row37,1,yes,"Bradley, Mr. George (George Arthur Brayton)",male,,0,0,111427,26.55,,,S,9,,"Los Angeles, CA"
Row38,1,no,"Brady, Mr. John Bertram",male,41,0,0,113054,30.5,A21,A,S,,,"Pomeroy, WA"
Row39,1,no,"Brandeis, Mr. Emil",male,48,0,0,PC 17591,50.4958,B10,B,C,,208,"Omaha, NE"
Row40,1,no,"Brewe, Dr. Arthur Jackson",male,,0,0,112379,39.6,,,C,,,"Philadelphia, PA"
Row41,1,yes,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,B,C,6,,"Denver, CO"
